"URL","Title","Content","q"
"www.priceline.com","delhi hotel","Shop and Compare Hotels. Save up to 40% More at Priceline.","delhi hotel"
"www.hotelbrowser.biz","Delhi Hotels","Last Minute, Discounted Hotels in Delhi. Save up to 70%.","delhi hotel"
"www.booking.com","Hotel  Booking.com","Check cheap rates and availabilities on over 25,000 hotels worldwide.","delhi hotel"
"hotelcruiser.com","Find a Hotel","Need to book a hotel stay? Check out our hotel directory now.","delhi hotel"
"www.expedia.com","Delhi hotel","Photos, Customer Ratings & Reviews. Save on Hotels in Delhi.","delhi hotel"
"AllOnlineSchools.com","College Degrees Online","Complete Directory of Accredited Online Degrees. Request info today.","online degree"
"ClassesUSA.com","National University","Attend National University Online. Request Online School Info Now!","online degree"
"www.DegreeCenter.com","Top Online University","Get Degree Info from a Top Online School. Advance Your Career!","online degree"
"www.elearners.com","Take Control Now","Get Your Degree Online. Request Free Info Now!","online degree"
"www.earnmydegree.com","Top Online Degrees","Search online degree programs from leading universities. Start today!","online degree"
"www.expedia.com","Find the Hotel You Want","Hotel Info, Photos & Virtual Tours Save up to 50% on hotels at Expedia","hotel LA"
"msn.Expedia.com","Hotel","Best price guarantee on hotels at Expedia! Air, car, packages & more.","hotel LA"
"www.booking.com","Hotel  Booking.com","Check cheap rates and availabilities on over 25,000 hotels worldwide.","hotel LA"
"www.priceline.com","Priceline Discount Hotels","Great Low Prices, Pictures & Guest Reviews. Shop. Compare. Save.","hotel LA"
"hotelcruiser.com","Find a Hotel","Need to book a hotel stay? Check out our hotel directory now.","hotel LA"
